"funding_total_usd","status","country_code","founded_year","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","private_equity","market_fs","country"
10000000,"unknown","USA",2007,0,0,0,0,0,10000000,0,"Financial Services","United States of America"
4099999,"operating","USA",2012,4099999,0,0,0,0,0,0,"Financial Services","United States of America"
7540000,"operating","unknown",2013,3770000,3770000,0,0,0,0,0,"Financial Services","unknown"
11000000,"operating","unknown",2012,1000000,10000000,0,0,0,0,0,"Financial Services","unknown"
750000,"operating","USA",2011,0,750000,0,0,0,0,0,"Financial Services","United States of America"
5000000,"operating","USA",NULL,0,5000000,0,0,0,0,0,"Financial Services","United States of America"
120000,"operating","USA",NULL,120000,0,0,0,0,0,0,"Financial Services","United States of America"
800000,"operating","IND",2013,800000,0,0,0,0,0,0,"Financial Services","India"
750000,"operating","USA",2012,750000,0,0,0,0,0,0,"Financial Services","United States of America"
450000,"operating","SGP",2013,300000,0,0,0,0,0,150000,"Financial Services","Singapore"
5000000,"unknown","USA",2002,0,0,0,0,0,5000000,0,"Financial Services","United States of America"
3000000,"operating","IND",2013,3000000,0,0,0,0,0,0,"Financial Services","India"
475000,"operating","USA",2012,475000,0,0,0,0,0,0,"Financial Services","United States of America"
217500,"operating","unknown",NULL,217500,0,0,0,0,0,0,"Financial Services","unknown"
50000,"operating","USA",NULL,0,50000,0,0,0,0,0,"Financial Services","United States of America"
12100000,"operating","USA",NULL,0,7900000,0,4200000,0,0,0,"Financial Services","United States of America"
1500000,"operating","USA",2008,1500000,0,0,0,0,0,0,"Financial Services","United States of America"
183352,"closed","GBR",2005,183352,0,0,0,0,0,0,"Financial Services","United Kingdom"
6200000,"operating","LVA",NULL,0,6200000,0,0,0,0,0,"Financial Services","Latvia"
20352,"operating","BWA",NULL,20352,0,0,0,0,0,0,"Financial Services","Botswana"
4000000,"operating","CHN",2011,0,4000000,0,0,0,0,0,"Financial Services","China"
14000000,"operating","USA",2007,0,7000000,0,0,0,0,7000000,"Financial Services","United States of America"
2000000,"operating","RUS",NULL,0,0,0,2000000,0,0,0,"Financial Services","Russia"
740725,"operating","USA",2013,0,740725,0,0,0,0,0,"Financial Services","United States of America"
3351100,"operating","GBR",2014,3351100,0,0,0,0,0,0,"Financial Services","United Kingdom"
10000000,"operating","CHN",2006,0,10000000,0,0,0,0,0,"Financial Services","China"
45000000,"operating","USA",1997,0,0,0,0,0,45000000,0,"Financial Services","United States of America"
150000,"operating","USA",2013,150000,0,0,0,0,0,0,"Financial Services","United States of America"
8199999,"operating","USA",NULL,0,8199999,0,0,0,0,0,"Financial Services","United States of America"
88205645,"operating","DEU",NULL,0,0,0,0,0,0,0,"Financial Services","unknown"
4496166,"operating","JPN",2008,1196166,3300000,0,0,0,0,0,"Financial Services","Japan"
150000,"operating","USA",2013,150000,0,0,0,0,0,0,"Financial Services","United States of America"
21400000,"operating","CAN",2007,400000,13000000,0,0,0,0,0,"Financial Services","Canada"
148323,"operating","FRA",2010,148323,0,0,0,0,0,0,"Financial Services","France"
23783512,"operating","FRA",2012,1323515,7476573,0,0,0,14983424,0,"Financial Services","France"
4700000,"operating","USA",2012,4000000,0,0,0,0,0,0,"Financial Services","United States of America"
1000000,"operating","IND",2011,0,0,0,0,0,0,0,"Financial Services","India"
100000,"operating","USA",2010,100000,0,0,0,0,0,0,"Financial Services","United States of America"
449999,"operating","USA",NULL,0,449999,0,0,0,0,0,"Financial Services","United States of America"
4400000,"operating","USA",2012,4400000,0,0,0,0,0,0,"Financial Services","United States of America"
51000000,"operating","USA",2009,0,51000000,0,0,0,0,0,"Financial Services","United States of America"
3000000,"operating","USA",NULL,0,0,0,0,0,3000000,0,"Financial Services","United States of America"
41250,"operating","HKG",2013,41250,0,0,0,0,0,0,"Financial Services","Hong Kong"
1000000,"operating","POL",NULL,0,1000000,0,0,0,0,0,"Financial Services","Poland"
445958,"operating","RUS",2012,445958,0,0,0,0,0,0,"Financial Services","Russia"
4000000,"operating","ARG",2000,0,4000000,0,0,0,0,0,"Financial Services","Argentina"
271239,"operating","GBR",2012,271239,0,0,0,0,0,0,"Financial Services","United Kingdom"
5130000,"operating","USA",2008,0,5130000,0,0,0,0,0,"Financial Services","United States of America"
16500000,"operating","USA",2010,0,16500000,0,0,0,0,0,"Financial Services","United States of America"
69030000,"operating","USA",2007,1100000,67930000,0,0,0,0,0,"Financial Services","United States of America"
42750,"operating","unknown",2013,0,0,0,0,0,42750,0,"Financial Services","unknown"
10000000,"operating","USA",2003,0,10000000,0,0,0,0,0,"Financial Services","United States of America"
225000,"operating","USA",2012,225000,0,0,0,0,0,0,"Financial Services","United States of America"
400000,"operating","USA",2014,0,0,0,0,0,0,0,"Financial Services","United States of America"
1020352,"operating","CHE",2011,1020352,0,0,0,0,0,0,"Financial Services","Switzerland"
3500000,"operating","unknown",2013,3500000,0,0,0,0,0,0,"Financial Services","unknown"
434284,"operating","GBR",2013,182941,0,0,0,0,0,0,"Financial Services","United Kingdom"
5613564,"operating","USA",2011,967750,4645814,0,0,0,0,0,"Financial Services","United States of America"
100000,"operating","USA",NULL,100000,0,0,0,0,0,0,"Financial Services","United States of America"
16135004,"operating","USA",2008,0,16135004,0,0,0,0,0,"Financial Services","United States of America"
605000,"operating","GBR",2012,0,0,0,0,0,0,0,"Financial Services","United Kingdom"
16300000,"operating","BRA",2013,2000000,14300000,0,0,0,0,0,"Financial Services","Brazil"
24150000,"operating","GBR",2009,0,23150000,0,0,0,1000000,0,"Financial Services","United Kingdom"
172801,"operating","DEU",2013,172801,0,0,0,0,0,0,"Financial Services","unknown"
50000,"closed","USA",2009,50000,0,0,0,0,0,0,"Financial Services","United States of America"
25000000,"operating","USA",2012,0,25000000,0,0,0,0,0,"Financial Services","United States of America"
550000,"operating","USA",2013,550000,0,0,0,0,0,0,"Financial Services","United States of America"
6400000,"operating","USA",2011,1400000,5000000,0,0,0,0,0,"Financial Services","United States of America"
1500000,"operating","USA",2012,0,1500000,0,0,0,0,0,"Financial Services","United States of America"
1287243,"acquired","ITA",2007,1287243,0,0,0,0,0,0,"Financial Services","Italy"
150000,"operating","USA",2013,150000,0,0,0,0,0,0,"Financial Services","United States of America"
2000000,"operating","USA",NULL,0,2000000,0,0,0,0,0,"Financial Services","United States of America"
1400000,"operating","USA",2009,0,1400000,0,0,0,0,0,"Financial Services","United States of America"
50000000,"operating","USA",NULL,0,0,0,0,0,0,50000000,"Financial Services","United States of America"
500000,"operating","RUS",NULL,500000,0,0,0,0,0,0,"Financial Services","Russia"
7500,"operating","USA",2013,7500,0,0,0,0,0,0,"Financial Services","United States of America"
2000000,"operating","USA",2014,2000000,0,0,0,0,0,0,"Financial Services","United States of America"
110000000,"operating","USA",NULL,0,0,0,0,0,0,110000000,"Financial Services","United States of America"
1200000,"operating","unknown",2014,1200000,0,0,0,0,0,0,"Financial Services","unknown"
40704,"operating","USA",2012,40704,0,0,0,0,0,0,"Financial Services","United States of America"
1800000,"operating","USA",2004,0,1800000,0,0,0,0,0,"Financial Services","United States of America"
27500000,"acquired","USA",NULL,0,0,0,27500000,0,0,0,"Financial Services","United States of America"
2485000,"operating","USA",2003,0,0,0,2485000,0,0,0,"Financial Services","United States of America"
15000000,"acquired","USA",2000,0,15000000,0,0,0,0,0,"Financial Services","United States of America"
1000000,"operating","CHE",NULL,1000000,0,0,0,0,0,0,"Financial Services","Switzerland"
10000,"operating","unknown",NULL,0,0,0,10000,0,0,0,"Financial Services","unknown"
398097,"operating","FRA",2010,0,0,398097,0,0,0,0,"Financial Services","France"
1200000,"operating","USA",2013,100000,1100000,0,0,0,0,0,"Financial Services","United States of America"
3161435,"operating","DEU",NULL,3161435,0,0,0,0,0,0,"Financial Services","unknown"
2000000,"unknown","RUS",NULL,0,2000000,0,0,0,0,0,"Financial Services","Russia"
15000000,"unknown","RUS",2011,0,15000000,0,0,0,0,0,"Financial Services","Russia"
539800,"operating","LTU",2012,539800,0,0,0,0,0,0,"Financial Services","Lithuania"
8000000,"operating","USA",NULL,0,8000000,0,0,0,0,0,"Financial Services","United States of America"
21675000,"operating","USA",1902,0,3100000,0,0,0,0,0,"Financial Services","United States of America"
1000000,"operating","JPN",2013,0,0,0,0,0,0,0,"Financial Services","Japan"
